Terms,docFreq,postList
ini,76,"[66, 29, 67, 13, 37, 44, 33, 28, 85, 38, 48, 51, 47, 52, 30, 17, 44, 61, 53, 54, 77, 37, 65, 38, 31, 17, 51, 47, 67, 43, 36, 67, 37, 62, 27, 76, 50, 44, 70, 20, 48, 46, 62, 59, 40, 21, 5, 20, 58, 84, 15, 70, 21, 49, 66, 50, 26, 82, 48, 19, 82, 44, 39, 16, 51, 62, 29, 74, 22, 36, 33, 14, 66, 48, 62, 22]"
inilah,1,[74]
instagram,4,"[54, 54, 42, 46]"
instagrammable,3,"[11, 9, 11]"
instragramnya,1,[69]
instruksi,1,[20]
internasional,1,[66]
iriban,1,[16]
irisan,1,[78]
isdiman,2,"[26, 26]"
isian,1,[75]
islam,3,"[49, 49, 1]"
iso,1,[75]
istimewa,4,"[72, 27, 78, 18]"
itu,10,"[83, 34, 55, 51, 32, 47, 53, 47, 59, 10]"
iya,2,"[6, 10]"
jacob,1,[62]
jadi,1,[13]
jadilah,1,[64]
jadwal,1,[46]
jago,2,"[51, 51]"
jahe,1,[85]
jajanan,2,"[16, 63]"
jalan,17,"[27, 80, 22, 3, 61, 21, 20, 27, 49, 3, 10, 27, 26, 79, 80, 30, 27]"
jalur,2,"[27, 59]"
jam,3,"[46, 25, 36]"
jamu,5,"[51, 51, 51, 43, 43]"
jangan,4,"[69, 2, 59, 71]"
jantung,1,[28]
jaran,1,[16]
jasa,2,"[26, 29]"
jasanya,1,[47]
jateng,1,[53]
jati,1,[64]
jatibarang,2,"[67, 67]"
jatuh,2,"[10, 19]"
jauh,6,"[15, 8, 48, 56, 15, 47]"
jawa,28,"[49, 74, 49, 46, 35, 49, 66, 45, 49, 49, 66, 58, 10, 26, 47, 73, 44, 47, 44, 35, 47, 78, 62, 29, 66, 20, 66, 19]"
jawabannya,1,[4]
jawabnya,1,[9]
jawi,1,[68]
jaya,2,"[51, 51]"
jejak,1,[59]
jelajah,1,[3]
jelang,1,[39]
jembatan,5,"[14, 56, 14, 14, 21]"
jendela,1,[59]
jenis,2,"[15, 82]"
jepang,2,"[45, 11]"
jernih,3,"[16, 67, 17]"
jika,3,"[27, 74, 59]"
jiwasraya,2,"[59, 59]"
jl,22,"[59, 77, 84, 84, 57, 84, 65, 85, 57, 82, 41, 18, 77, 35, 38, 57, 84, 75, 57, 46, 77, 32]"
jln,1,[66]
jogja,1,[20]
joglo,4,"[33, 26, 33, 33]"
johannes,1,[44]
johar,1,[48]
juga,39,"[57, 47, 13, 18, 59, 22, 23, 65, 59, 46, 10, 15, 9, 30, 58, 58, 46, 58, 0, 65, 29, 21, 36, 11, 16, 79, 27, 16, 41, 27, 60, 53, 32, 24, 63, 43, 14, 84, 51]"
juli,1,[62]
julukan,1,[41]
jum,1,[51]
jumat,1,[17]
jumlah,2,"[62, 29]"
jump,1,[10]
jumpai,1,[10]
juni,1,[55]
juruh,2,"[74, 74]"
justitie,1,[52]
ka,1,[20]
kab,5,"[17, 1, 3, 2, 11]"
kabupaten,14,"[12, 34, 2, 0, 58, 15, 6, 5, 14, 72, 70, 3, 34, 8]"
kaca,3,"[14, 14, 14]"
kacang,4,"[36, 73, 83, 72]"
kadeso,1,[16]
kafe,2,"[34, 35]"
kak,2,"[39, 39]"
kakao,1,[18]
kaki,4,"[14, 24, 2, 59]"
kalah,1,[14]
kalangan,1,[25]
kalau,4,"[6, 4, 6, 5]"
kali,2,"[70, 47]"
kalian,1,[6]
kalijaga,3,"[64, 64, 64]"
kaliurip,4,"[13, 13, 13, 13]"
kaliwungu,1,[5]
kami,1,[73]
kamis,1,[17]
kampoeng,3,"[18, 18, 18]"
kampung,10,"[11, 85, 85, 11, 59, 59, 59, 68, 11, 60]"
kamu,6,"[13, 71, 7, 0, 11, 71]"
kan,1,[11]
kanan,1,[31]
kandri,3,"[42, 67, 42]"
kangen,1,[0]
kanguru,1,[54]
kantor,1,[62]
kaos,1,[24]
karaoke,1,[24]
karena,9,"[2, 19, 59, 78, 62, 47, 81, 43, 41]"
karet,1,[18]
karya,1,[62]
kata,2,"[64, 37]"
katolik,2,"[22, 12]"
kauman,1,[59]
kawasan,14,"[59, 31, 59, 39, 15, 76, 54, 51, 63, 59, 30, 59, 55, 80]"
kaya,1,[83]
